DBSCAN_Cluster,Government Debt,Core PCE Price Index,Core Consumer Prices,Wages,Corruption Rank,Price to Rent Ratio,Money Supply M0,Military Expenditure,Interbank Rate,Government Bond 10Y,Consumer Price Index CPI,GDP from Public Administration,Foreign Exchange Reserves,Mining Production,PCE Price Index,Pending Home Sales,Crude Oil Production,Disposable Personal Income,Foreign Direct Investment,Mortgage Originations
9,-1.3811232180278903,-1.436472772804299,-1.3982207617455273,-1.422626738387959,-1.10150160031755,1.2032807278188034,-1.4449567930045017,-1.7453472195024564,1.255341293283206,1.4649329544590874,-1.3816269194921418,-0.9425366472536029,-1.140576052126904,-1.0143979835969845,-1.4327759785497534,-0.04500211960863183,-1.3373030105909858,-1.3372033926027032,-0.737977613245243,1.1359205955946932
10,-1.372179423680862,-1.4151305871588686,-1.3810297769925308,-1.414044228828873,-1.10150160031755,1.2032807278188034,-1.441111006869117,-1.7453472195024562,1.3547215981743053,1.5361985607061086,-1.437793772669442,-0.9425366472536028,-1.300830864519491,-0.7959553498427687,-1.45028830530281,-0.07696071443698951,-1.2300424286497913,-1.3246879580426107,-0.737977613245243,1.1359205955946932
11,-1.3614670080280433,-1.4064318764218686,-1.3707151861407325,-1.3997400462303953,-1.10150160031755,1.2032807278188034,-1.4352507613294831,-1.7453472195024562,1.4307692683992173,1.470891114444457,-1.4658771992580917,-0.9425366472536028,-1.2208050139711015,-0.6694885618798017,-1.45028830530281,-0.2607226347000462,-1.1835154874766243,-1.3154663752749522,-0.737977613245243,1.1359205955946932
12,-1.3579475984087646,-1.387618385758125,-1.3569623983383363,-1.3854358636319175,-0.1644088693199891,1.2600115963756298,-1.4345792748614001,-1.4810999340219382,1.4890813618390217,1.4221872562154283,-1.4132207744043725,-0.9713886958656265,-1.0644093161988684,-0.3705670630582432,-1.4097281462138347,-0.13288825538661547,-1.1622054380843339,-1.2699130788789947,-0.8223644420973865,0.5595870391152123
13,-1.3478217510258255,-1.3740645806562877,-1.3432096105359388,-1.3654100079940488,-0.1644088693199891,1.2600115963756298,-1.434151965290802,-1.4810999340219382,1.5715731782492681,1.5669254476948773,-1.3991790611100483,-0.9713886958656264,-1.112546693305387,-0.5775127160885529,-1.4046958684112327,-0.3166501756496722,-1.167888117922278,-1.2545780489703116,-0.8223644420973864,0.5595870391152123
14,-1.3339298500223815,-1.3508005868247754,-1.3191422318817432,-1.348244988875876,-0.1644088693199891,1.2600115963756298,-1.4309776656235003,-1.4810999340219382,1.660146993396214,1.7083607461389583,-1.3605643495506534,-0.9713886958656266,-1.067862208227606,-0.5430217739168346,-1.388391288330802,-0.4125259601347452,-1.1696639553716355,-1.2367243028845487,-0.8223644420973865,0.5595870391152123
15,-1.3360475864467043,-1.3250078980115778,-1.3019512471287469,-1.3224974601986166,-0.1644088693199891,1.218589057429376,-1.431527063642841,-1.4810999340219382,1.7415583072652574,1.9478527536769181,-1.300887068049772,-0.9449409846379389,-0.7680699356148575,-0.4855368702973041,-1.349240167026555,-0.7081429622970539,-1.1501297434287028,-1.2231065938412324,-0.3739166346288176,0.8077826693744863
16,-1.335902316147873,-1.303766860165414,-1.2813220654251514,-1.3167757871592256,-0.1644088693199891,1.218589057429376,-1.4294515600142206,-1.4810999340219382,1.8024058472504811,2.0523072360961314,-1.2657827848139593,-0.9449409846379389,-0.6311729222402013,-0.27859121726699443,-1.3264942713587926,-0.7001533135899645,-1.125623186627569,-1.2167080866228868,-0.3739166346288176,0.8077826693744862
17,-1.3272238218555563,-1.2823235267207158,-1.2641310806721548,-1.296749931521357,-0.1644088693199891,1.218589057429376,-1.429573648462963,-1.4810999340219382,1.9098888978378794,2.0520576920999356,-1.251741071519634,-0.9449409846379389,-0.7067303242808127,-0.20960933292355788,-1.305559995699967,-0.8120083954892162,-1.121361176749111,-1.2049519685839585,-0.3739166346288176,0.8077826693744862
18,-1.323889738179357,-1.274029407180786,-1.2503782928697575,-1.2824457489228793,-0.1644088693199891,1.1315273994854012,-1.4301230464823036,-1.4810999340219382,1.96932054250686,2.0360221986137548,-1.2306785015781465,-0.9010618273738162,-0.6977934272652565,-0.11763348713230909,-1.2764734300009255,-1.0117496131664518,-1.1458677335502447,-1.1955101840251623,-0.2001586851465533,0.765430359889111
